"cod","mun","Paro","date","Padron","Activos"
44099,"Escucha",56,2006,1104,754
44099,"Escucha",58,2007,1073,735
44099,"Escucha",89,2008,1034,713
44099,"Escucha",108,2009,1003,695
44099,"Escucha",110,2010,1015,712
44099,"Escucha",122,2011,1019,716
44099,"Escucha",128,2012,995,682
44099,"Escucha",135,2013,1003,699
