"cod","mun","Paro","date","Padron","Activos"
22200,"Sahún",7,2006,331,229
22200,"Sahún",10,2007,364,251
22200,"Sahún",12,2008,372,259
22200,"Sahún",11,2009,368,261
22200,"Sahún",13,2010,360,249
22200,"Sahún",17,2011,342,238
22200,"Sahún",13,2012,340,233
22200,"Sahún",5,2013,326,219
