"cod","mun","Paro","date","Padron","Activos"
50163,"María de Huerva",87,2006,2917,2150
50163,"María de Huerva",101,2007,3420,2538
50163,"María de Huerva",176,2008,4008,2944
50163,"María de Huerva",287,2009,4444,3218
50163,"María de Huerva",296,2010,4729,3384
50163,"María de Huerva",348,2011,5048,3567
50163,"María de Huerva",419,2012,5265,3715
50163,"María de Huerva",432,2013,5315,3704
