"cod","mun","Paro","date","Padron","Activos"
22114,"Gistaín",7,2006,158,97
22114,"Gistaín",3,2007,155,91
22114,"Gistaín",2,2008,157,93
22114,"Gistaín",2,2009,154,88
22114,"Gistaín",5,2010,145,84
22114,"Gistaín",7,2011,150,84
22114,"Gistaín",7,2012,147,86
22114,"Gistaín",5,2013,144,79
