"cod","mun","Paro","date","Padron","Activos"
50234,"San Martín de la Virgen de Moncayo",15,2013,292,180
50234,"San Martín de la Virgen de Moncayo",17,2012,297,183
50234,"San Martín de la Virgen de Moncayo",17,2011,285,181
50234,"San Martín de la Virgen de Moncayo",16,2010,295,186
50234,"San Martín de la Virgen de Moncayo",12,2009,300,196
50234,"San Martín de la Virgen de Moncayo",11,2008,292,190
50234,"San Martín de la Virgen de Moncayo",9,2007,284,187
50234,"San Martín de la Virgen de Moncayo",10,2006,292,192
50234,"San Martín de la Virgen de Moncayo",13,2005,290,1
