"cod","mun","Paro","date","Padron","Activos"
22215,"Seira",2,2006,170,113
22215,"Seira",5,2007,179,120
22215,"Seira",5,2008,174,119
22215,"Seira",2,2009,165,110
22215,"Seira",8,2010,156,107
22215,"Seira",5,2011,151,101
22215,"Seira",8,2012,149,101
22215,"Seira",6,2013,142,97
