"cod","mun","Paro","date","Padron","Activos"
44055,"Camarillas",5,2013,110,67
44055,"Camarillas",8,2012,117,75
44055,"Camarillas",7,2011,130,79
44055,"Camarillas",4,2010,119,72
44055,"Camarillas",5,2009,112,75
44055,"Camarillas",2,2008,121,83
44055,"Camarillas",4,2007,107,72
44055,"Camarillas",3,2006,109,74
