"cod","mun","Paro","date","Padron","Activos"
22088,"Castillazuelo",11,2013,181,94
22088,"Castillazuelo",11,2012,189,99
22088,"Castillazuelo",7,2011,197,104
22088,"Castillazuelo",6,2010,193,101
22088,"Castillazuelo",7,2009,199,106
22088,"Castillazuelo",4,2008,221,114
22088,"Castillazuelo",4,2007,225,115
22088,"Castillazuelo",5,2006,223,117
22088,"Castillazuelo",15,2005,227,4
