"name","comarca","ine","lon","lat","cp"
"Arguis","Plana de Uesca","22037","-0.4390353","42.3148776","22150"
"Ariza","Comunidad de Calatayud","50034","-2.0579416","41.3114455","50220"
"Ariño","Andorra-Sierra de Arcos","44029","-0.5925944","41.0309533","44547"
"Artieda","La Jacetania","50035","-0.9835574","42.5863891","50683"
"Arándiga","Comunidad de Calatayud","50032","-1.4996863","41.509658","50266"
"Arén","La Ribagorza","22035","0.7218046","42.2580194","22583"
"Asín","Cinco Villas","50036","-1.0460453","42.2838686","50619"
"Atea","Campo de Daroca","50037","-1.5541605","41.1592446","50348"
"Ateca","Comunidad de Calatayud","50038","-1.7952762","41.3296158","50200"
"Ayerbe","Plana de Uesca","22039","-0.6879802","42.2748623","22800"
"Azaila","Bajo Martín","44031","-0.4933037","41.2904702","44590"
"Azanuy-Alins","La Llitera","22040","0.3089777","41.9688245",NA
"Azara","Somontano de Barbastro","22041","-0.0300282","42.0698273","22311"
"Azlor","Somontano de Barbastro","22042","-0.0446135","42.095173","22311"
"Azuara","Campo de Belchite","50039","-0.8710884","41.2587485","50140"
"Aínsa-Sobrarbe","Sobrarbe","22907","0.1403811","42.4146941",NA
"Aísa","La Jacetania","22006","-0.6207126","42.6787387","22860"
"Añón de Moncayo","Tarazona y el Moncayo","50030","-1.7201255","41.7785966","50590"
"Badules","Campo de Daroca","50040","-1.2533064","41.1386889","50491"
"Baells","La Llitera","22043","0.4583451","41.9539194","22569"
"Bagüés","Cinco Villas","50041","-0.9453391","42.5492199","50685"
"Bailo","La Jacetania","22044","-0.810952","42.5094783","22760"
"Balconchán","Campo de Daroca","50042","-1.460689","41.0871773","50366"
"Baldellou","La Llitera","22045","0.5467599","41.9174199","22571"
"Ballobar","Baix Cinca","22046","0.1910644","41.6203582","22234"
"Banastás","Plana de Uesca","22047","-0.4520058","42.181692","22194"
"Barbastro","Somontano de Barbastro","22048","0.1284404","42.0360435","22300"
"Barbués","Los Monegros","22049","-0.4198822","41.9799353","22255"
"Barbuñales","Somontano de Barbastro","22050","-0.0872343","42.0258702","22132"
"Bardallur","Valdejalón","50044","-1.212733","41.6839405","50296"
"Barrachina","Jiloca","44035","-1.1383006","40.8969022","44220"
"Bañón","Jiloca","44034","-1.1899089","40.8395079","44357"
"Bea","Jiloca","44036","-1.1463977","41.0359282","44492"
"Beceite","Matarranya","44037","0.1816936","40.8315669","44588"
"Belchite","Campo de Belchite","50045","-0.7544692","41.3047407","50130"
"Bello","Jiloca","44039","-1.4978716","40.9224865","44232"
"Belmonte de Gracián","Comunidad de Calatayud","50046","-1.5384164","41.3126374","50332"
"Belmonte de San José","Bajo Aragón","44038","-0.0635827","40.8746815","44642"
"Belver de Cinca","Baix Cinca","22052","0.1787657","41.6920452","22533"
"Benabarre","La Ribagorza","22053","0.4803197","42.1087048","22580"
"Benasque","La Ribagorza","22054","0.5228286","42.6042858","22440"
"Beranuy","Ribagorza","22246","0.5942218","42.3669415","22484"
"Berbegal","Somontano de Barbastro","22055","-0.0029143","41.9611832","22131"
"Berdejo","Comunidad de Calatayud","50047","-1.9444375","41.561401","50316"
"Berge","Bajo Aragón","44040","-0.4272477","40.8574774","44556"
"Berrueco","Campo de Daroca","50048","-1.467035","40.9903902","50373"
"Bezas","Sierra de Albarracín","44041","-1.3246301","40.3312921","44121"
"Biel","Cinco Villas","50901","-0.9360877","42.3869563","50619"
"Bielsa","Sobrarbe","22057","0.218018","42.6334211",NA
"Bierge","Somontano de Barbastro","22058","-0.0802249","42.163725","22144"
"Biescas","Alto Gállego","22059","-0.3224793","42.6286287","22630"
"Bijuesca","Comunidad de Calatayud","50050","-1.9200003","41.5405887","50316"
"Binaced","Cinca Medio","22060","0.2016092","41.8257421","22510"
"Binéfar","La Llitera","22061","0.2960544","41.8485199","22500"
"Biota","Cinco Villas","50051","-1.1893085","42.2609165","50695"
"Bisaurri","La Ribagorza","22062","0.5065872","42.4968072","22470"
"Biscarrués","Plana de Uesca","22063","-0.7526868","42.228234","22807"
"Bisimbre","Campo de Borja","50052","-1.443167","41.855699","50561"
"Blancas","Jiloca","44042","-1.4839622","40.8120821","44314"
"Blecua y Torres","Plana de Uesca","22064","-0.1963364","42.087905",NA
"Blesa","Cuencas Mineras","44043","-0.8877756","41.0523775","44790"
"Boltaña","Sobrarbe","22066","0.0664228","42.4446959","22340"
"Bonansa","La Ribagorza","22067","0.6672248","42.4269279","22486"
"Boquiñeni","Ribera Alta del Ebro","50053","-1.2524043","41.8476855","50641"
"Borau","La Jacetania","22068","-0.5881565","42.6581212","22860"
"Bordalba","Comunidad de Calatayud","50054","-2.0796965","41.4172034","50229"
"Bordón","Maestrazgo","44044","-0.3219053","40.6862519","44563"
"Borja","Campo de Borja","50055","-1.5341785","41.8337231","50540"
"Botorrita","D.C. Zaragoza","50056","-1.0286955","41.5054446","50441"
"Brea de Aragón","Aranda","50057","-1.5996085","41.5239322","50246"
"Bronchales","Sierra de Albarracín","44045","-1.5880904","40.5088378","44367"
"Broto","Sobrarbe","22069","-0.1223006","42.6038788","22370"
"Bubierca","Comunidad de Calatayud","50058","-1.8556119","41.3142465","50239"
"Bueña","Jiloca","44046","-1.2668395","40.7082984","44394"
"Bujaraloz","Los Monegros","50059","-0.1530097","41.497428","50177"
"Bulbuente","Campo de Borja","50060","-1.60264","41.8185062","50546"
"Burbáguena","Jiloca","44047","-1.3378849","41.0184328","44330"
"Bureta","Campo de Borja","50061","-1.4887997","41.8150629","50547"
