name,comarca,ine
Torrente de Cinca,Baix Cinca,22234
Torres de Alcanadre,Somontano de Barbastro,22235
Torres de Barbués,Los Monegros,22236
Tramaced,Plana de Uesca,22239
Valfarta,Los Monegros,22242
Valle de Bardají,La Ribagorza,22243
Valle de Lierp,La Ribagorza,22244
Velilla de Cinca,Baix Cinca,22245
Beranuy,Ribagorza,22246
Viacamp y Litera,La Ribagorza,22247
Vicién,Plana de Uesca,22248
Villanova,La Ribagorza,22249
Villanúa,La Jacetania,22250
Villanueva de Sigena,Los Monegros,22251
Yebra de Basa,Alto Gállego,22252
Yésero,Alto Gállego,22253
Zaidín,Baix Cinca,22254
Valle de Hecho,La Jacetania,22901
Puente la Reina de Jaca,La Jacetania,22902
San Miguel del Cinca,Cinca Medio,22903
Sotonera (La),Plana de Uesca,22904
Lupiñén-Ortilla,Plana de Uesca,22905
Santa María de Dulcis,Somontano de Barbastro,22906
Aínsa-Sobrarbe,Sobrarbe,22907
Hoz y Costeán,Somontano de Barbastro,22908
Vencillón,La Llitera,22909
Ababuj,Comunidad de Teruel,44001
Abejuela,Gúdar-Javalambre,44002
Aguatón,Comunidad de Teruel,44003
Aguaviva,Bajo Aragón,44004
Aguilar del Alfambra,Comunidad de Teruel,44005
Alacón,Andorra-Sierra de Arcos,44006
Alba,Comunidad de Teruel,44007
Albalate del Arzobispo,Bajo Martín,44008
Albarracín,Sierra de Albarracín,44009
Albentosa,Gúdar-Javalambre,44010
Alcaine,Cuencas Mineras,44011
Alcalá de la Selva,Gúdar-Javalambre,44012
Alcañiz,Bajo Aragón,44013
Alcorisa,Bajo Aragón,44014
Alfambra,Comunidad de Teruel,44016
Aliaga,Cuencas Mineras,44017
Almohaja,Comunidad de Teruel,44018
Alobras,Comunidad de Teruel,44019
Alpeñés,Comunidad de Teruel,44020
Allepuz,Maestrazgo,44021
Alloza,Andorra-Sierra de Arcos,44022
Allueva,Jiloca,44023
Anadón,Cuencas Mineras,44024
Andorra,Andorra-Sierra de Arcos,44025
Arcos de las Salinas,Gúdar-Javalambre,44026
Arens de Lledó,Matarranya,44027
Argente,Comunidad de Teruel,44028
Ariño,Andorra-Sierra de Arcos,44029
Azaila,Bajo Martín,44031
Bádenas,Jiloca,44032
Báguena,Jiloca,44033
Bañón,Jiloca,44034
Barrachina,Jiloca,44035
Bea,Jiloca,44036
Beceite,Matarranya,44037
Belmonte de San José,Bajo Aragón,44038
Bello,Jiloca,44039
