"establecimientos","plazas","tipo","cod","mun"
3,21,"Casas Rurales","44183","Pitarque"
0,0,"Apartamentos","44183","Pitarque"
0,0,"Campings","44183","Pitarque"
0,0,"Hoteles","44183","Pitarque"
