"establecimientos","plazas","tipo","cod","mun"
2,25,"Hoteles","22021","Almudévar"
0,0,"Apartamentos","22021","Almudévar"
0,0,"Campings","22021","Almudévar"
0,0,"Casas Rurales","22021","Almudévar"
