"establecimientos","plazas","tipo","cod","mun"
3,70,"Apartamentos","22243","Valle de Bardají"
2,20,"Casas Rurales","22243","Valle de Bardají"
0,0,"Campings","22243","Valle de Bardají"
0,0,"Hoteles","22243","Valle de Bardají"
