"establecimientos","plazas","tipo","cod","mun"
4,91,"Hoteles","44021","Allepuz"
0,0,"Apartamentos","44021","Allepuz"
0,0,"Campings","44021","Allepuz"
0,0,"Casas Rurales","44021","Allepuz"
