"establecimientos","plazas","tipo","cod","mun"
3,68,"Hoteles","44238","Utrillas"
0,0,"Apartamentos","44238","Utrillas"
0,0,"Campings","44238","Utrillas"
0,0,"Casas Rurales","44238","Utrillas"
