"establecimientos","plazas","tipo","cod","mun"
2,9,"Casas Rurales","50125","Ibdes"
1,6,"Hoteles","50125","Ibdes"
0,0,"Apartamentos","50125","Ibdes"
0,0,"Campings","50125","Ibdes"
