"establecimientos","plazas","tipo","cod","mun"
1,10,"Casas Rurales","50053","Boquiñeni"
0,0,"Apartamentos","50053","Boquiñeni"
0,0,"Campings","50053","Boquiñeni"
0,0,"Hoteles","50053","Boquiñeni"
