"establecimientos","plazas","tipo","cod","mun"
0,0,"Apartamentos","44156","Monteagudo del Castillo"
0,0,"Campings","44156","Monteagudo del Castillo"
0,0,"Casas Rurales","44156","Monteagudo del Castillo"
0,0,"Hoteles","44156","Monteagudo del Castillo"
