"cod","mun","total","hombres","mujeres","date"
44231,"Torrijas",80,38,42,1998
44231,"Torrijas",77,35,42,1999
44231,"Torrijas",74,33,41,2000
44231,"Torrijas",70,31,39,2001
44231,"Torrijas",68,30,38,2002
44231,"Torrijas",94,45,49,2003
44231,"Torrijas",87,40,47,2004
44231,"Torrijas",86,40,46,2005
44231,"Torrijas",73,36,37,2006
44231,"Torrijas",70,34,36,2007
44231,"Torrijas",73,34,39,2008
44231,"Torrijas",62,25,37,2009
44231,"Torrijas",66,29,37,2010
44231,"Torrijas",63,28,35,2011
44231,"Torrijas",57,26,31,2012
44231,"Torrijas",44,20,24,2013
