"cod","mun","total","hombres","mujeres","date"
22036,"Argavieso",127,73,54,1998
22036,"Argavieso",128,74,54,1999
22036,"Argavieso",129,74,55,2000
22036,"Argavieso",126,72,54,2001
22036,"Argavieso",126,70,56,2002
22036,"Argavieso",131,71,60,2003
22036,"Argavieso",127,70,57,2004
22036,"Argavieso",135,74,61,2005
22036,"Argavieso",130,72,58,2006
22036,"Argavieso",135,72,63,2007
22036,"Argavieso",132,73,59,2008
22036,"Argavieso",125,69,56,2009
22036,"Argavieso",119,72,47,2010
22036,"Argavieso",118,72,46,2011
22036,"Argavieso",110,64,46,2012
22036,"Argavieso",112,66,46,2013
