"cod","mun","total","hombres","mujeres","date"
50283,"Villadoz",87,47,40,1998
50283,"Villadoz",86,48,38,1999
50283,"Villadoz",83,47,36,2000
50283,"Villadoz",84,49,35,2001
50283,"Villadoz",90,53,37,2002
50283,"Villadoz",79,44,35,2003
50283,"Villadoz",88,50,38,2004
50283,"Villadoz",98,57,41,2005
50283,"Villadoz",97,56,41,2006
50283,"Villadoz",91,52,39,2007
50283,"Villadoz",86,50,36,2008
50283,"Villadoz",88,50,38,2009
50283,"Villadoz",83,49,34,2010
50283,"Villadoz",84,49,35,2011
50283,"Villadoz",87,52,35,2012
50283,"Villadoz",93,55,38,2013
