"cod","mun","total","hombres","mujeres","date"
50106,"Fayos (Los)",194,105,89,1998
50106,"Fayos (Los)",191,102,89,1999
50106,"Fayos (Los)",191,101,90,2000
50106,"Fayos (Los)",182,96,86,2001
50106,"Fayos (Los)",174,86,88,2002
50106,"Fayos (Los)",179,89,90,2003
50106,"Fayos (Los)",175,85,90,2004
50106,"Fayos (Los)",174,86,88,2005
50106,"Fayos (Los)",172,86,86,2006
50106,"Fayos (Los)",171,86,85,2007
50106,"Fayos (Los)",168,85,83,2008
50106,"Fayos (Los)",158,81,77,2009
50106,"Fayos (Los)",153,79,74,2010
50106,"Fayos (Los)",153,79,74,2011
50106,"Fayos (Los)",152,78,74,2012
50106,"Fayos (Los)",151,76,75,2013
