"cod","mun","total","hombres","mujeres","date"
50154,"Mainar",184,99,85,1998
50154,"Mainar",185,100,85,1999
50154,"Mainar",183,101,82,2000
50154,"Mainar",180,98,82,2001
50154,"Mainar",168,91,77,2002
50154,"Mainar",157,85,72,2003
50154,"Mainar",162,86,76,2004
50154,"Mainar",150,82,68,2005
50154,"Mainar",157,87,70,2006
50154,"Mainar",174,89,85,2007
50154,"Mainar",187,90,97,2008
50154,"Mainar",169,85,84,2009
50154,"Mainar",167,86,81,2010
50154,"Mainar",164,84,80,2011
50154,"Mainar",157,84,73,2012
50154,"Mainar",158,85,73,2013
