"cod","mun","total","hombres","mujeres","date"
44209,"Santa Eulalia",1241,601,640,1998
44209,"Santa Eulalia",1218,594,624,1999
44209,"Santa Eulalia",1230,601,629,2000
44209,"Santa Eulalia",1193,577,616,2001
44209,"Santa Eulalia",1178,575,603,2002
44209,"Santa Eulalia",1148,565,583,2003
44209,"Santa Eulalia",1154,566,588,2004
44209,"Santa Eulalia",1164,564,600,2005
44209,"Santa Eulalia",1170,570,600,2006
44209,"Santa Eulalia",1143,560,583,2007
44209,"Santa Eulalia",1163,576,587,2008
44209,"Santa Eulalia",1185,582,603,2009
44209,"Santa Eulalia",1152,568,584,2010
44209,"Santa Eulalia",1147,572,575,2011
44209,"Santa Eulalia",1122,564,558,2012
44209,"Santa Eulalia",1118,558,560,2013
