"cod","mun","total","hombres","mujeres","date"
44076,"Cella",2953,1513,1440,1998
44076,"Cella",2913,1497,1416,1999
44076,"Cella",2897,1496,1401,2000
44076,"Cella",2890,1478,1412,2001
44076,"Cella",2864,1478,1386,2002
44076,"Cella",2805,1457,1348,2003
44076,"Cella",2816,1482,1334,2004
44076,"Cella",2896,1547,1349,2005
44076,"Cella",2935,1560,1375,2006
44076,"Cella",3002,1613,1389,2007
44076,"Cella",3122,1704,1418,2008
44076,"Cella",3112,1697,1415,2009
44076,"Cella",2951,1559,1392,2010
44076,"Cella",2905,1523,1382,2011
44076,"Cella",2878,1505,1373,2012
44076,"Cella",2886,1516,1370,2013
