"cod","mun","total","hombres","mujeres","date"
50247,"Sobradiel",610,296,314,1998
50247,"Sobradiel",621,310,311,1999
50247,"Sobradiel",641,319,322,2000
50247,"Sobradiel",646,321,325,2001
50247,"Sobradiel",718,361,357,2002
50247,"Sobradiel",755,380,375,2003
50247,"Sobradiel",752,397,355,2004
50247,"Sobradiel",813,430,383,2005
50247,"Sobradiel",851,441,410,2006
50247,"Sobradiel",903,455,448,2007
50247,"Sobradiel",965,480,485,2008
50247,"Sobradiel",967,474,493,2009
50247,"Sobradiel",999,489,510,2010
50247,"Sobradiel",979,474,505,2011
50247,"Sobradiel",1029,499,530,2012
50247,"Sobradiel",1054,512,542,2013
