"cod","mun","total","hombres","mujeres","date"
50055,"Borja",3999,1951,2048,1998
50055,"Borja",4235,2086,2149,1999
50055,"Borja",4256,2079,2177,2000
50055,"Borja",4264,2098,2166,2001
50055,"Borja",4313,2132,2181,2002
50055,"Borja",4313,2137,2176,2003
50055,"Borja",4348,2160,2188,2004
50055,"Borja",4444,2202,2242,2005
50055,"Borja",4501,2245,2256,2006
50055,"Borja",4653,2343,2310,2007
50055,"Borja",4838,2462,2376,2008
50055,"Borja",5030,2570,2460,2009
50055,"Borja",5042,2583,2459,2010
50055,"Borja",5020,2560,2460,2011
50055,"Borja",5057,2561,2496,2012
50055,"Borja",4915,2478,2437,2013
