"cod","mun","total","hombres","mujeres","date"
44008,"Albalate del Arzobispo",2379,1170,1209,1998
44008,"Albalate del Arzobispo",2335,1148,1187,1999
44008,"Albalate del Arzobispo",2283,1115,1168,2000
44008,"Albalate del Arzobispo",2252,1109,1143,2001
44008,"Albalate del Arzobispo",2221,1104,1117,2002
44008,"Albalate del Arzobispo",2201,1107,1094,2003
44008,"Albalate del Arzobispo",2180,1102,1078,2004
44008,"Albalate del Arzobispo",2179,1104,1075,2005
44008,"Albalate del Arzobispo",2200,1121,1079,2006
44008,"Albalate del Arzobispo",2238,1149,1089,2007
44008,"Albalate del Arzobispo",2233,1150,1083,2008
44008,"Albalate del Arzobispo",2195,1125,1070,2009
44008,"Albalate del Arzobispo",2155,1099,1056,2010
44008,"Albalate del Arzobispo",2115,1083,1032,2011
44008,"Albalate del Arzobispo",2087,1070,1017,2012
44008,"Albalate del Arzobispo",2049,1048,1001,2013
