"cod","mun","total","hombres","mujeres","date"
22081,"Casbas de Huesca",308,164,144,1998
22081,"Casbas de Huesca",308,164,144,1999
22081,"Casbas de Huesca",304,161,143,2000
22081,"Casbas de Huesca",298,158,140,2001
22081,"Casbas de Huesca",305,161,144,2002
22081,"Casbas de Huesca",295,158,137,2003
22081,"Casbas de Huesca",296,157,139,2004
22081,"Casbas de Huesca",294,155,139,2005
22081,"Casbas de Huesca",293,153,140,2006
22081,"Casbas de Huesca",308,162,146,2007
22081,"Casbas de Huesca",307,158,149,2008
22081,"Casbas de Huesca",304,160,144,2009
22081,"Casbas de Huesca",299,159,140,2010
22081,"Casbas de Huesca",303,161,142,2011
22081,"Casbas de Huesca",304,163,141,2012
22081,"Casbas de Huesca",306,171,135,2013
