"cod","mun","total","hombres","mujeres","date"
50213,"Plenas",161,81,80,1998
50213,"Plenas",155,78,77,1999
50213,"Plenas",137,68,69,2000
50213,"Plenas",143,72,71,2001
50213,"Plenas",139,70,69,2002
50213,"Plenas",133,66,67,2003
50213,"Plenas",131,65,66,2004
50213,"Plenas",117,60,57,2005
50213,"Plenas",112,57,55,2006
50213,"Plenas",113,58,55,2007
50213,"Plenas",123,62,61,2008
50213,"Plenas",125,63,62,2009
50213,"Plenas",132,68,64,2010
50213,"Plenas",135,66,69,2011
50213,"Plenas",131,69,62,2012
50213,"Plenas",128,67,61,2013
