"cod","mun","total","hombres","mujeres","date"
22229,"Tolva",209,110,99,1998
22229,"Tolva",203,108,95,1999
22229,"Tolva",197,105,92,2000
22229,"Tolva",194,104,90,2001
22229,"Tolva",196,102,94,2002
22229,"Tolva",182,95,87,2003
22229,"Tolva",180,94,86,2004
22229,"Tolva",183,96,87,2005
22229,"Tolva",176,94,82,2006
22229,"Tolva",193,102,91,2007
22229,"Tolva",191,106,85,2008
22229,"Tolva",175,98,77,2009
22229,"Tolva",171,96,75,2010
22229,"Tolva",160,96,64,2011
22229,"Tolva",152,88,64,2012
22229,"Tolva",147,86,61,2013
