"cod","mun","total","hombres","mujeres","date"
50046,"Belmonte de Gracián",302,163,139,1998
50046,"Belmonte de Gracián",300,161,139,1999
50046,"Belmonte de Gracián",282,151,131,2000
50046,"Belmonte de Gracián",279,147,132,2001
50046,"Belmonte de Gracián",275,148,127,2002
50046,"Belmonte de Gracián",262,144,118,2003
50046,"Belmonte de Gracián",248,136,112,2004
50046,"Belmonte de Gracián",241,128,113,2005
50046,"Belmonte de Gracián",231,122,109,2006
50046,"Belmonte de Gracián",221,117,104,2007
50046,"Belmonte de Gracián",216,117,99,2008
50046,"Belmonte de Gracián",215,118,97,2009
50046,"Belmonte de Gracián",236,132,104,2010
50046,"Belmonte de Gracián",236,134,102,2011
50046,"Belmonte de Gracián",238,133,105,2012
50046,"Belmonte de Gracián",233,129,104,2013
