"cod","mun","total","hombres","mujeres","date"
22155,"Monesma y Cajigar",106,56,50,1998
22155,"Monesma y Cajigar",104,53,51,1999
22155,"Monesma y Cajigar",102,51,51,2000
22155,"Monesma y Cajigar",104,54,50,2001
22155,"Monesma y Cajigar",100,52,48,2002
22155,"Monesma y Cajigar",101,53,48,2003
22155,"Monesma y Cajigar",104,53,51,2004
22155,"Monesma y Cajigar",109,58,51,2005
22155,"Monesma y Cajigar",111,59,52,2006
22155,"Monesma y Cajigar",108,57,51,2007
22155,"Monesma y Cajigar",111,58,53,2008
22155,"Monesma y Cajigar",111,59,52,2009
22155,"Monesma y Cajigar",106,56,50,2010
22155,"Monesma y Cajigar",100,55,45,2011
22155,"Monesma y Cajigar",95,52,43,2012
22155,"Monesma y Cajigar",93,49,44,2013
