"cod","mun","total","hombres","mujeres","date"
44122,"Híjar",1949,976,973,1998
44122,"Híjar",1929,969,960,1999
44122,"Híjar",1901,964,937,2000
44122,"Híjar",1887,953,934,2001
44122,"Híjar",1901,969,932,2002
44122,"Híjar",1883,955,928,2003
44122,"Híjar",1907,966,941,2004
44122,"Híjar",1912,965,947,2005
44122,"Híjar",1898,955,943,2006
44122,"Híjar",1968,1028,940,2007
44122,"Híjar",1928,999,929,2008
44122,"Híjar",1900,970,930,2009
44122,"Híjar",1899,970,929,2010
44122,"Híjar",1872,948,924,2011
44122,"Híjar",1806,911,895,2012
44122,"Híjar",1774,897,877,2013
