"cod","mun","total","hombres","mujeres","date"
50111,"Fréscano",261,128,133,1998
50111,"Fréscano",264,129,135,1999
50111,"Fréscano",252,123,129,2000
50111,"Fréscano",243,121,122,2001
50111,"Fréscano",227,113,114,2002
50111,"Fréscano",223,111,112,2003
50111,"Fréscano",231,117,114,2004
50111,"Fréscano",241,126,115,2005
50111,"Fréscano",237,125,112,2006
50111,"Fréscano",237,126,111,2007
50111,"Fréscano",233,123,110,2008
50111,"Fréscano",235,123,112,2009
50111,"Fréscano",220,120,100,2010
50111,"Fréscano",217,116,101,2011
50111,"Fréscano",208,113,95,2012
50111,"Fréscano",204,113,91,2013
