"cod","mun","total","hombres","mujeres","date"
50242,"Sediles",107,55,52,1998
50242,"Sediles",105,55,50,1999
50242,"Sediles",102,52,50,2000
50242,"Sediles",101,54,47,2001
50242,"Sediles",105,56,49,2002
50242,"Sediles",100,52,48,2003
50242,"Sediles",93,47,46,2004
50242,"Sediles",91,47,44,2005
50242,"Sediles",87,46,41,2006
50242,"Sediles",100,59,41,2007
50242,"Sediles",101,58,43,2008
50242,"Sediles",109,60,49,2009
50242,"Sediles",112,61,51,2010
50242,"Sediles",115,64,51,2011
50242,"Sediles",106,61,45,2012
50242,"Sediles",108,64,44,2013
