"cod","mun","total","hombres","mujeres","date"
44257,"Villar del Cobo",231,115,116,1998
44257,"Villar del Cobo",230,117,113,1999
44257,"Villar del Cobo",223,117,106,2000
44257,"Villar del Cobo",232,123,109,2001
44257,"Villar del Cobo",231,119,112,2002
44257,"Villar del Cobo",218,112,106,2003
44257,"Villar del Cobo",222,112,110,2004
44257,"Villar del Cobo",213,108,105,2005
44257,"Villar del Cobo",213,110,103,2006
44257,"Villar del Cobo",216,114,102,2007
44257,"Villar del Cobo",217,115,102,2008
44257,"Villar del Cobo",217,120,97,2009
44257,"Villar del Cobo",208,114,94,2010
44257,"Villar del Cobo",205,112,93,2011
44257,"Villar del Cobo",202,107,95,2012
44257,"Villar del Cobo",192,107,85,2013
