"cod","mun","total","hombres","mujeres","date"
44100,"Estercuel",373,187,186,1998
44100,"Estercuel",353,182,171,1999
44100,"Estercuel",348,182,166,2000
44100,"Estercuel",332,171,161,2001
44100,"Estercuel",319,167,152,2002
44100,"Estercuel",316,164,152,2003
44100,"Estercuel",314,166,148,2004
44100,"Estercuel",292,156,136,2005
44100,"Estercuel",276,147,129,2006
44100,"Estercuel",262,143,119,2007
44100,"Estercuel",255,141,114,2008
44100,"Estercuel",267,144,123,2009
44100,"Estercuel",271,147,124,2010
44100,"Estercuel",272,150,122,2011
44100,"Estercuel",259,147,112,2012
44100,"Estercuel",261,153,108,2013
