"cod","mun","total","hombres","mujeres","date"
44127,"Jabaloyas",94,50,44,1998
44127,"Jabaloyas",92,48,44,1999
44127,"Jabaloyas",89,46,43,2000
44127,"Jabaloyas",85,43,42,2001
44127,"Jabaloyas",77,38,39,2002
44127,"Jabaloyas",75,37,38,2003
44127,"Jabaloyas",79,40,39,2004
44127,"Jabaloyas",87,47,40,2005
44127,"Jabaloyas",82,43,39,2006
44127,"Jabaloyas",85,47,38,2007
44127,"Jabaloyas",85,47,38,2008
44127,"Jabaloyas",89,52,37,2009
44127,"Jabaloyas",81,47,34,2010
44127,"Jabaloyas",90,55,35,2011
44127,"Jabaloyas",83,48,35,2012
44127,"Jabaloyas",78,45,33,2013
