"cod","mun","total","hombres","mujeres","date"
50236,"Santa Cruz de Grío",234,128,106,1998
50236,"Santa Cruz de Grío",232,129,103,1999
50236,"Santa Cruz de Grío",232,128,104,2000
50236,"Santa Cruz de Grío",226,124,102,2001
50236,"Santa Cruz de Grío",230,123,107,2002
50236,"Santa Cruz de Grío",216,114,102,2003
50236,"Santa Cruz de Grío",214,110,104,2004
50236,"Santa Cruz de Grío",197,105,92,2005
50236,"Santa Cruz de Grío",190,101,89,2006
50236,"Santa Cruz de Grío",194,107,87,2007
50236,"Santa Cruz de Grío",186,106,80,2008
50236,"Santa Cruz de Grío",182,104,78,2009
50236,"Santa Cruz de Grío",164,90,74,2010
50236,"Santa Cruz de Grío",161,87,74,2011
50236,"Santa Cruz de Grío",148,79,69,2012
50236,"Santa Cruz de Grío",136,72,64,2013
