"cod","mun","total","hombres","mujeres","date"
44238,"Utrillas",3329,1711,1618,1998
44238,"Utrillas",3291,1699,1592,1999
44238,"Utrillas",3279,1700,1579,2000
44238,"Utrillas",3275,1698,1577,2001
44238,"Utrillas",3217,1672,1545,2002
44238,"Utrillas",3192,1658,1534,2003
44238,"Utrillas",3209,1662,1547,2004
44238,"Utrillas",3271,1698,1573,2005
44238,"Utrillas",3289,1718,1571,2006
44238,"Utrillas",3346,1754,1592,2007
44238,"Utrillas",3353,1756,1597,2008
44238,"Utrillas",3388,1767,1621,2009
44238,"Utrillas",3309,1706,1603,2010
44238,"Utrillas",3270,1688,1582,2011
44238,"Utrillas",3238,1686,1552,2012
44238,"Utrillas",3268,1698,1570,2013
