"cod","mun","total","hombres","mujeres","date"
22102,"Estada",185,95,90,1998
22102,"Estada",193,99,94,1999
22102,"Estada",206,106,100,2000
22102,"Estada",197,100,97,2001
22102,"Estada",190,96,94,2002
22102,"Estada",185,98,87,2003
22102,"Estada",192,104,88,2004
22102,"Estada",212,117,95,2005
22102,"Estada",231,126,105,2006
22102,"Estada",224,123,101,2007
22102,"Estada",231,132,99,2008
22102,"Estada",237,133,104,2009
22102,"Estada",236,135,101,2010
22102,"Estada",234,133,101,2011
22102,"Estada",230,131,99,2012
22102,"Estada",221,123,98,2013
