"cod","mun","total","hombres","mujeres","date"
44185,"Pobo (El)",156,85,71,1998
44185,"Pobo (El)",150,81,69,1999
44185,"Pobo (El)",146,81,65,2000
44185,"Pobo (El)",139,75,64,2001
44185,"Pobo (El)",131,74,57,2002
44185,"Pobo (El)",138,79,59,2003
44185,"Pobo (El)",137,77,60,2004
44185,"Pobo (El)",135,78,57,2005
44185,"Pobo (El)",133,80,53,2006
44185,"Pobo (El)",137,83,54,2007
44185,"Pobo (El)",139,85,54,2008
44185,"Pobo (El)",133,83,50,2009
44185,"Pobo (El)",139,86,53,2010
44185,"Pobo (El)",143,93,50,2011
44185,"Pobo (El)",142,91,51,2012
44185,"Pobo (El)",145,91,54,2013
