"cod","mun","total","hombres","mujeres","date"
22053,"Benabarre",1166,600,566,1998
22053,"Benabarre",1173,611,562,1999
22053,"Benabarre",1139,594,545,2000
22053,"Benabarre",1116,578,538,2001
22053,"Benabarre",1129,588,541,2002
22053,"Benabarre",1112,582,530,2003
22053,"Benabarre",1112,587,525,2004
22053,"Benabarre",1114,593,521,2005
22053,"Benabarre",1160,609,551,2006
22053,"Benabarre",1167,613,554,2007
22053,"Benabarre",1197,632,565,2008
22053,"Benabarre",1199,624,575,2009
22053,"Benabarre",1177,623,554,2010
22053,"Benabarre",1180,616,564,2011
22053,"Benabarre",1215,634,581,2012
22053,"Benabarre",1206,630,576,2013
