"cod","mun","total","hombres","mujeres","date"
50182,"Muela (La)",1136,593,543,1998
50182,"Muela (La)",1205,630,575,1999
50182,"Muela (La)",1351,708,643,2000
50182,"Muela (La)",1580,825,755,2001
50182,"Muela (La)",1889,991,898,2002
50182,"Muela (La)",2310,1200,1110,2003
50182,"Muela (La)",2858,1489,1369,2004
50182,"Muela (La)",3265,1690,1575,2005
50182,"Muela (La)",3567,1837,1730,2006
50182,"Muela (La)",3965,2046,1919,2007
50182,"Muela (La)",4419,2273,2146,2008
50182,"Muela (La)",4928,2506,2422,2009
50182,"Muela (La)",5166,2650,2516,2010
50182,"Muela (La)",5213,2698,2515,2011
50182,"Muela (La)",5062,2624,2438,2012
50182,"Muela (La)",5015,2586,2429,2013
