"cod","mun","total","hombres","mujeres","date"
50176,"Morata de Jiloca",355,190,165,1998
50176,"Morata de Jiloca",350,187,163,1999
50176,"Morata de Jiloca",330,175,155,2000
50176,"Morata de Jiloca",325,171,154,2001
50176,"Morata de Jiloca",312,167,145,2002
50176,"Morata de Jiloca",325,173,152,2003
50176,"Morata de Jiloca",307,164,143,2004
50176,"Morata de Jiloca",295,159,136,2005
50176,"Morata de Jiloca",267,140,127,2006
50176,"Morata de Jiloca",292,160,132,2007
50176,"Morata de Jiloca",317,180,137,2008
50176,"Morata de Jiloca",306,172,134,2009
50176,"Morata de Jiloca",301,171,130,2010
50176,"Morata de Jiloca",286,163,123,2011
50176,"Morata de Jiloca",280,163,117,2012
50176,"Morata de Jiloca",232,132,100,2013
