"cod","mun","total","hombres","mujeres","date"
22064,"Blecua y Torres",178,95,83,1998
22064,"Blecua y Torres",186,99,87,1999
22064,"Blecua y Torres",182,92,90,2000
22064,"Blecua y Torres",184,93,91,2001
22064,"Blecua y Torres",197,106,91,2002
22064,"Blecua y Torres",190,107,83,2003
22064,"Blecua y Torres",189,106,83,2004
22064,"Blecua y Torres",191,111,80,2005
22064,"Blecua y Torres",195,112,83,2006
22064,"Blecua y Torres",201,111,90,2007
22064,"Blecua y Torres",186,103,83,2008
22064,"Blecua y Torres",192,107,85,2009
22064,"Blecua y Torres",208,115,93,2010
22064,"Blecua y Torres",215,118,97,2011
22064,"Blecua y Torres",219,120,99,2012
22064,"Blecua y Torres",211,119,92,2013
