"cod","mun","total","hombres","mujeres","date"
22067,"Bonansa",74,38,36,1998
22067,"Bonansa",76,40,36,1999
22067,"Bonansa",76,40,36,2000
22067,"Bonansa",80,41,39,2001
22067,"Bonansa",89,48,41,2002
22067,"Bonansa",97,52,45,2003
22067,"Bonansa",101,52,49,2004
22067,"Bonansa",105,56,49,2005
22067,"Bonansa",101,54,47,2006
22067,"Bonansa",97,50,47,2007
22067,"Bonansa",93,51,42,2008
22067,"Bonansa",96,54,42,2009
22067,"Bonansa",102,55,47,2010
22067,"Bonansa",102,55,47,2011
22067,"Bonansa",96,51,45,2012
22067,"Bonansa",86,47,39,2013
