"cod","mun","total","hombres","mujeres","date"
44200,"Rubielos de la Cérida",60,29,31,1998
44200,"Rubielos de la Cérida",60,29,31,1999
44200,"Rubielos de la Cérida",62,30,32,2000
44200,"Rubielos de la Cérida",60,30,30,2001
44200,"Rubielos de la Cérida",58,28,30,2002
44200,"Rubielos de la Cérida",57,28,29,2003
44200,"Rubielos de la Cérida",55,27,28,2004
44200,"Rubielos de la Cérida",55,27,28,2005
44200,"Rubielos de la Cérida",53,26,27,2006
44200,"Rubielos de la Cérida",54,26,28,2007
44200,"Rubielos de la Cérida",49,25,24,2008
44200,"Rubielos de la Cérida",46,24,22,2009
44200,"Rubielos de la Cérida",45,23,22,2010
44200,"Rubielos de la Cérida",43,22,21,2011
44200,"Rubielos de la Cérida",43,22,21,2012
44200,"Rubielos de la Cérida",43,23,20,2013
