"cod","mun","total","hombres","mujeres","date"
50196,"Orera",133,66,67,1998
50196,"Orera",134,68,66,1999
50196,"Orera",126,63,63,2000
50196,"Orera",124,64,60,2001
50196,"Orera",125,64,61,2002
50196,"Orera",132,67,65,2003
50196,"Orera",131,68,63,2004
50196,"Orera",135,71,64,2005
50196,"Orera",133,69,64,2006
50196,"Orera",122,63,59,2007
50196,"Orera",128,67,61,2008
50196,"Orera",126,65,61,2009
50196,"Orera",129,66,63,2010
50196,"Orera",136,71,65,2011
50196,"Orera",135,68,67,2012
50196,"Orera",133,68,65,2013
