"cod","mun","total","hombres","mujeres","date"
50077,"Castejón de Valdejasa",341,178,163,1998
50077,"Castejón de Valdejasa",342,178,164,1999
50077,"Castejón de Valdejasa",336,174,162,2000
50077,"Castejón de Valdejasa",331,172,159,2001
50077,"Castejón de Valdejasa",330,170,160,2002
50077,"Castejón de Valdejasa",317,164,153,2003
50077,"Castejón de Valdejasa",315,165,150,2004
50077,"Castejón de Valdejasa",302,156,146,2005
50077,"Castejón de Valdejasa",301,152,149,2006
50077,"Castejón de Valdejasa",289,148,141,2007
50077,"Castejón de Valdejasa",283,147,136,2008
50077,"Castejón de Valdejasa",290,150,140,2009
50077,"Castejón de Valdejasa",283,149,134,2010
50077,"Castejón de Valdejasa",274,140,134,2011
50077,"Castejón de Valdejasa",257,131,126,2012
50077,"Castejón de Valdejasa",248,127,121,2013
