"cod","mun","total","hombres","mujeres","date"
50128,"Isuerre",64,36,28,1998
50128,"Isuerre",64,36,28,1999
50128,"Isuerre",62,38,24,2000
50128,"Isuerre",60,36,24,2001
50128,"Isuerre",54,35,19,2002
50128,"Isuerre",56,37,19,2003
50128,"Isuerre",53,35,18,2004
50128,"Isuerre",53,35,18,2005
50128,"Isuerre",50,34,16,2006
50128,"Isuerre",45,30,15,2007
50128,"Isuerre",39,25,14,2008
50128,"Isuerre",37,25,12,2009
50128,"Isuerre",37,24,13,2010
50128,"Isuerre",36,24,12,2011
50128,"Isuerre",34,22,12,2012
50128,"Isuerre",33,22,11,2013
