"cod","mun","total","hombres","mujeres","date"
50057,"Brea de Aragón",2022,1006,1016,1998
50057,"Brea de Aragón",2031,1017,1014,1999
50057,"Brea de Aragón",2009,997,1012,2000
50057,"Brea de Aragón",1976,991,985,2001
50057,"Brea de Aragón",2011,1023,988,2002
50057,"Brea de Aragón",1999,1026,973,2003
50057,"Brea de Aragón",2013,1034,979,2004
50057,"Brea de Aragón",1973,1015,958,2005
50057,"Brea de Aragón",1894,963,931,2006
50057,"Brea de Aragón",1872,951,921,2007
50057,"Brea de Aragón",1922,968,954,2008
50057,"Brea de Aragón",1897,953,944,2009
50057,"Brea de Aragón",1854,922,932,2010
50057,"Brea de Aragón",1816,910,906,2011
50057,"Brea de Aragón",1795,897,898,2012
50057,"Brea de Aragón",1754,881,873,2013
