"cod","mun","total","hombres","mujeres","date"
50087,"Contamina",56,30,26,1998
50087,"Contamina",55,29,26,1999
50087,"Contamina",59,32,27,2000
50087,"Contamina",60,33,27,2001
50087,"Contamina",60,35,25,2002
50087,"Contamina",54,33,21,2003
50087,"Contamina",50,31,19,2004
50087,"Contamina",46,28,18,2005
50087,"Contamina",43,25,18,2006
50087,"Contamina",50,26,24,2007
50087,"Contamina",42,24,18,2008
50087,"Contamina",38,21,17,2009
50087,"Contamina",38,23,15,2010
50087,"Contamina",39,23,16,2011
50087,"Contamina",39,23,16,2012
50087,"Contamina",37,21,16,2013
