"cod","mun","total","hombres","mujeres","date"
44165,"Nogueruelas",211,113,98,1998
44165,"Nogueruelas",219,120,99,1999
44165,"Nogueruelas",223,118,105,2000
44165,"Nogueruelas",215,115,100,2001
44165,"Nogueruelas",212,115,97,2002
44165,"Nogueruelas",224,121,103,2003
44165,"Nogueruelas",227,124,103,2004
44165,"Nogueruelas",223,123,100,2005
44165,"Nogueruelas",239,128,111,2006
44165,"Nogueruelas",273,150,123,2007
44165,"Nogueruelas",264,141,123,2008
44165,"Nogueruelas",249,133,116,2009
44165,"Nogueruelas",237,132,105,2010
44165,"Nogueruelas",215,113,102,2011
44165,"Nogueruelas",219,117,102,2012
44165,"Nogueruelas",210,117,93,2013
