"cod","mun","total","hombres","mujeres","date"
44198,"Royuela",241,140,101,1998
44198,"Royuela",240,138,102,1999
44198,"Royuela",238,136,102,2000
44198,"Royuela",237,130,107,2001
44198,"Royuela",229,126,103,2002
44198,"Royuela",229,131,98,2003
44198,"Royuela",225,124,101,2004
44198,"Royuela",221,119,102,2005
44198,"Royuela",224,121,103,2006
44198,"Royuela",224,121,103,2007
44198,"Royuela",223,120,103,2008
44198,"Royuela",240,130,110,2009
44198,"Royuela",248,133,115,2010
44198,"Royuela",251,136,115,2011
44198,"Royuela",247,135,112,2012
44198,"Royuela",230,126,104,2013
