"cod","mun","total","hombres","mujeres","date"
22130,"Jaca",11197,5537,5660,1998
22130,"Jaca",11374,5630,5744,1999
22130,"Jaca",11414,5656,5758,2000
22130,"Jaca",11591,5736,5855,2001
22130,"Jaca",11932,5891,6041,2002
22130,"Jaca",12063,5971,6092,2003
22130,"Jaca",12322,6113,6209,2004
22130,"Jaca",12553,6257,6296,2005
22130,"Jaca",12736,6389,6347,2006
22130,"Jaca",12759,6400,6359,2007
22130,"Jaca",13193,6595,6598,2008
22130,"Jaca",13396,6718,6678,2009
22130,"Jaca",13374,6651,6723,2010
22130,"Jaca",13299,6635,6664,2011
22130,"Jaca",13248,6575,6673,2012
22130,"Jaca",13221,6554,6667,2013
