"cod","mun","total","hombres","mujeres","date"
50078,"Castiliscar",409,205,204,1998
50078,"Castiliscar",403,205,198,1999
50078,"Castiliscar",408,211,197,2000
50078,"Castiliscar",406,210,196,2001
50078,"Castiliscar",395,204,191,2002
50078,"Castiliscar",384,200,184,2003
50078,"Castiliscar",395,208,187,2004
50078,"Castiliscar",385,201,184,2005
50078,"Castiliscar",367,192,175,2006
50078,"Castiliscar",360,190,170,2007
50078,"Castiliscar",347,185,162,2008
50078,"Castiliscar",333,175,158,2009
50078,"Castiliscar",338,172,166,2010
50078,"Castiliscar",328,164,164,2011
50078,"Castiliscar",310,153,157,2012
50078,"Castiliscar",300,152,148,2013
