"cod","mun","total","hombres","mujeres","date"
22141,"Lascellas-Ponzano",164,84,80,1998
22141,"Lascellas-Ponzano",162,83,79,1999
22141,"Lascellas-Ponzano",164,85,79,2000
22141,"Lascellas-Ponzano",167,86,81,2001
22141,"Lascellas-Ponzano",166,86,80,2002
22141,"Lascellas-Ponzano",158,80,78,2003
22141,"Lascellas-Ponzano",157,82,75,2004
22141,"Lascellas-Ponzano",166,87,79,2005
22141,"Lascellas-Ponzano",162,89,73,2006
22141,"Lascellas-Ponzano",166,94,72,2007
22141,"Lascellas-Ponzano",154,87,67,2008
22141,"Lascellas-Ponzano",151,83,68,2009
22141,"Lascellas-Ponzano",154,84,70,2010
22141,"Lascellas-Ponzano",148,83,65,2011
22141,"Lascellas-Ponzano",143,80,63,2012
22141,"Lascellas-Ponzano",148,85,63,2013
