"cod","mun","total","hombres","mujeres","date"
50003,"Agón",198,107,91,1998
50003,"Agón",192,102,90,1999
50003,"Agón",182,99,83,2000
50003,"Agón",188,102,86,2001
50003,"Agón",193,102,91,2002
50003,"Agón",197,105,92,2003
50003,"Agón",193,101,92,2004
50003,"Agón",176,94,82,2005
50003,"Agón",176,94,82,2006
50003,"Agón",172,91,81,2007
50003,"Agón",167,89,78,2008
50003,"Agón",170,91,79,2009
50003,"Agón",166,89,77,2010
50003,"Agón",164,87,77,2011
50003,"Agón",167,89,78,2012
50003,"Agón",155,81,74,2013
