"cod","mun","total","hombres","mujeres","date"
22032,"Aragüés del Puerto",138,82,56,1998
22032,"Aragüés del Puerto",135,81,54,1999
22032,"Aragüés del Puerto",135,81,54,2000
22032,"Aragüés del Puerto",132,78,54,2001
22032,"Aragüés del Puerto",142,84,58,2002
22032,"Aragüés del Puerto",142,82,60,2003
22032,"Aragüés del Puerto",143,82,61,2004
22032,"Aragüés del Puerto",150,83,67,2005
22032,"Aragüés del Puerto",137,73,64,2006
22032,"Aragüés del Puerto",136,71,65,2007
22032,"Aragüés del Puerto",128,68,60,2008
22032,"Aragüés del Puerto",132,68,64,2009
22032,"Aragüés del Puerto",128,66,62,2010
22032,"Aragüés del Puerto",133,71,62,2011
22032,"Aragüés del Puerto",128,71,57,2012
22032,"Aragüés del Puerto",128,71,57,2013
