"cod","mun","total","hombres","mujeres","date"
22909,"Vencillón",480,245,235,1998
22909,"Vencillón",475,242,233,1999
22909,"Vencillón",465,238,227,2000
22909,"Vencillón",468,243,225,2001
22909,"Vencillón",464,240,224,2002
22909,"Vencillón",466,247,219,2003
22909,"Vencillón",446,237,209,2004
22909,"Vencillón",435,232,203,2005
22909,"Vencillón",471,242,229,2006
22909,"Vencillón",458,237,221,2007
22909,"Vencillón",465,242,223,2008
22909,"Vencillón",479,247,232,2009
22909,"Vencillón",469,247,222,2010
22909,"Vencillón",467,247,220,2011
22909,"Vencillón",455,241,214,2012
22909,"Vencillón",442,233,209,2013
