"cod","mun","total","hombres","mujeres","date"
22025,"Altorricón",1448,750,698,1998
22025,"Altorricón",1448,756,692,1999
22025,"Altorricón",1462,760,702,2000
22025,"Altorricón",1464,756,708,2001
22025,"Altorricón",1470,781,689,2002
22025,"Altorricón",1464,779,685,2003
22025,"Altorricón",1447,760,687,2004
22025,"Altorricón",1462,787,675,2005
22025,"Altorricón",1469,796,673,2006
22025,"Altorricón",1457,784,673,2007
22025,"Altorricón",1491,811,680,2008
22025,"Altorricón",1518,836,682,2009
22025,"Altorricón",1506,823,683,2010
22025,"Altorricón",1492,817,675,2011
22025,"Altorricón",1494,813,681,2012
22025,"Altorricón",1447,782,665,2013
