"actividad","act_descripcion","value"
"A","Agricultura, ganadería, silvicultura y pesca",44
"B","Industrias extractivas",1
"C","Industria manufacturera",60
"D","Suministro de energía eléctrica, gas, vapor y aire acondicionado",5
"E","Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",4
"F","Construcción",298
"G","Comercio al por mayor y al por menor",690
"H","Transporte y almacenamiento",72
"I","Hostelería",279
"J","Información y comunicaciones",14
"K","Actividades financieras y de seguros",58
"L","Actividades inmobiliarias",203
"M","Actividades profesionales, científicas y técnicas",143
"N","Actividades administrativas y servicios auxliares",101
"P","Educación",58
"Q","Actividades sanitarias y de servicios sociales",49
"R","Actividades artísticas, recreativas y de entretenimiento",64
"S","Otros servicios",96
